,SNo,date,dayResult,dayConfidence,latitude,longitude,dateUnixTimestamp
96514,134,2022-07-20,1,0.7359351,46.64645728503842,-122.23232462726904,1658275200000
96515,135,2022-07-20,1,0.7359351,46.64645728503842,-122.21963512932524,1658275200000
96516,136,2022-07-20,1,0.7359351,46.64645728503842,-122.2069456313814,1658275200000
96517,137,2022-07-20,1,0.7359351,46.64645728503842,-122.1942561334376,1658275200000
96518,138,2022-07-20,1,0.7359351,46.64645728503842,-122.18156663549377,1658275200000
96519,139,2022-07-20,1,0.7359351,46.64645728503842,-122.16887713754996,1658275200000
96520,140,2022-07-20,1,0.7359351,46.64645728503842,-122.15618763960612,1658275200000
96521,141,2022-07-20,1,0.7359351,46.64645728503842,-122.14349814166232,1658275200000
96522,142,2022-07-20,1,0.7359351,46.64645728503842,-122.1308086437185,1658275200000
97060,143,2022-07-20,1,0.7359351,46.633767787094605,-122.3592196067072,1658275200000
97061,144,2022-07-20,1,0.7359351,46.633767787094605,-122.3465301087634,1658275200000
97062,145,2022-07-20,1,0.7359351,46.633767787094605,-122.33384061081958,1658275200000
97063,146,2022-07-20,1,0.7359351,46.633767787094605,-122.32115111287575,1658275200000
97064,147,2022-07-20,1,0.7359351,46.633767787094605,-122.30846161493194,1658275200000
97065,148,2022-07-20,1,0.7359351,46.633767787094605,-122.29577211698812,1658275200000
97066,149,2022-07-20,1,0.7359351,46.633767787094605,-122.28308261904432,1658275200000
97067,150,2022-07-20,1,0.7359351,46.633767787094605,-122.2703931211005,1658275200000
97068,151,2022-07-20,1,0.7359351,46.633767787094605,-122.25770362315669,1658275200000
97069,152,2022-07-20,1,0.7359351,46.633767787094605,-122.24501412521286,1658275200000
97070,153,2022-07-20,1,0.7359351,46.633767787094605,-122.23232462726904,1658275200000
97071,154,2022-07-20,1,0.7359351,46.633767787094605,-122.21963512932524,1658275200000
97072,155,2022-07-20,1,0.7359351,46.633767787094605,-122.2069456313814,1658275200000
97073,156,2022-07-20,1,0.7359351,46.633767787094605,-122.1942561334376,1658275200000
97074,157,2022-07-20,1,0.7359351,46.633767787094605,-122.18156663549377,1658275200000
97075,158,2022-07-20,1,0.7359351,46.633767787094605,-122.16887713754996,1658275200000
97076,159,2022-07-20,1,0.7359351,46.633767787094605,-122.15618763960612,1658275200000
97077,160,2022-07-20,1,0.7359351,46.633767787094605,-122.14349814166232,1658275200000
97078,161,2022-07-20,1,0.7359351,46.633767787094605,-122.1308086437185,1658275200000
97079,162,2022-07-20,1,0.7359351,46.633767787094605,-122.11811914577468,1658275200000
97615,163,2022-07-20,1,0.7359351,46.62107828915079,-122.3592196067072,1658275200000
